TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 134008008.72581 134008010.34633002 134008011.96685001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
2.0 134008011.96685001 134008013.58737001 134008015.20789002 0.0 0.0 494.63815105144926 0.0 0.0 0.0
3.0 134008015.20789 134008016.82841 134008018.44893001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
4.0 134008018.44893001 134008020.06945002 134008021.68997002 0.0 0.0 494.63815105144926 0.0 0.0 0.0
5.0 134008021.68997 134008023.31049001 134008024.93101001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
6.0 134008024.93101001 134008026.55153 134008028.17205001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
7.0 134008028.17205 134008029.79257 134008031.41309 0.0 0.0 494.63815105144926 0.0 0.0 0.0
8.0 134008031.41309 134008033.03361002 134008034.65413001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
9.0 134008034.65413001 134008036.27465001 134008037.89517002 0.0 0.0 494.63815105144926 0.0 0.0 0.0
10.0 134008037.89517 134008039.51569 134008041.13621001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
11.0 134008041.13621001 134008042.75673002 134008044.37725002 0.0 0.0 494.63815105144926 0.0 0.0 0.0
12.0 134008044.37725 134008045.99777001 134008047.61829 0.0 0.0 494.63815105144926 0.0 0.0 0.0
13.0 134008047.61829 134008049.23881 134008050.85933001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
14.0 134008050.85933001 134008052.47985002 134008054.10037002 0.0 0.0 494.63815105144926 0.0 0.0 0.0
15.0 134008054.10037 134008055.72089002 134008057.34141001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
16.0 134008057.34141001 134008058.96193 134008060.58245002 0.0 0.0 494.63815105144926 0.0 0.0 0.0
17.0 134008060.58245 134008062.20297 134008063.82349001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
18.0 134008063.82349001 134008065.44401002 134008067.06453001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
19.0 134008067.06453 134008068.68505001 134008070.30557 0.0 0.0 494.63815105144926 0.0 0.0 0.0
20.0 134008070.30557 134008071.92609 134008073.54661001 0.0 0.0 494.63815105144926 0.0 0.0 0.0
