TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 457204227.5112 457204229.13172 457204230.75224 0.0 0.0 7271.702362816659 0.0 0.0 0.0
2.0 457204230.75224 457204232.37276 457204233.99328 0.0 0.0 7271.702362816659 0.0 0.0 0.0
3.0 457204233.99328 457204235.6138 457204237.23432 0.0 0.0 7271.702362816659 0.0 0.0 0.0
4.0 457204237.23432 457204238.85484 457204240.47536 0.0 0.0 7271.702362816659 0.0 0.0 0.0
5.0 457204240.47536004 457204242.09588003 457204243.7164 0.0 0.0 7271.702362816659 0.0 0.0 0.0
6.0 457204243.7164 457204245.33692 457204246.95744 0.0 0.0 7271.702362816659 0.0 0.0 0.0
7.0 457204246.95744 457204248.57796 457204250.19848 0.0 0.0 7271.702362816659 0.0 0.0 0.0
8.0 457204250.19848 457204251.819 457204253.43952 0.0 0.0 7271.702362816659 0.0 0.0 0.0
9.0 457204253.43952 457204255.06004 457204256.68056 0.0 0.0 7271.702362816659 0.0 0.0 0.0
10.0 457204256.68056 457204258.30108 457204259.9216 0.0 0.0 7271.702362816659 0.0 0.0 0.0
11.0 457204259.9216 457204261.54212 457204263.16264 0.0 0.0 7271.702362816659 0.0 0.0 0.0
12.0 457204263.16264004 457204264.78316003 457204266.40368 0.0 0.0 7271.702362816659 0.0 0.0 0.0
13.0 457204266.40368 457204268.0242 457204269.64472 0.0 0.0 7271.702362816659 0.0 0.0 0.0
14.0 457204269.64472 457204271.26524 457204272.88576 0.0 0.0 7271.702362816659 0.0 0.0 0.0
15.0 457204272.88576 457204274.50628 457204276.1268 0.0 0.0 7271.702362816659 0.0 0.0 0.0
16.0 457204276.1268 457204277.74732 457204279.36784 0.0 0.0 7271.702362816659 0.0 0.0 0.0
17.0 457204279.36784 457204280.98836 457204282.60888 0.0 0.0 7271.702362816659 0.0 0.0 0.0
18.0 457204282.60888 457204284.2294 457204285.84992 0.0 0.0 7271.702362816659 0.0 0.0 0.0
19.0 457204285.84992003 457204287.47044003 457204289.09096 0.0 0.0 7271.702362816659 0.0 0.0 0.0
20.0 457204289.09096 457204290.71148 457204292.332 0.0 0.0 7271.702362816659 0.0 0.0 0.0
21.0 457204292.332 457204293.95252 457204295.57304 0.0 0.0 7271.702362816659 0.0 0.0 0.0
22.0 457204295.57304 457204297.19356 457204298.81408 0.0 0.0 7271.702362816659 0.0 0.0 0.0
23.0 457204298.81408 457204300.4346 457204302.05512 0.0 0.0 7271.702362816659 0.0 0.0 0.0
24.0 457204302.05512 457204303.67564 457204305.29616 0.0 0.0 7271.702362816659 0.0 0.0 0.0
25.0 457204305.29616 457204306.91668 457204308.5372 0.0 0.0 7271.702362816659 0.0 0.0 0.0
26.0 457204308.53720003 457204310.15772 457204311.77824 0.0 0.0 7271.702362816659 0.0 0.0 0.0
27.0 457204311.77824 457204313.39876 457204315.01928 0.0 0.0 7271.702362816659 0.0 0.0 0.0
28.0 457204315.01928 457204316.6398 457204318.26032 0.0 0.0 7271.702362816659 0.0 0.0 0.0
29.0 457204318.26032 457204319.88084 457204321.50136 0.0 0.0 7271.702362816659 0.0 0.0 0.0
30.0 457204321.50136 457204323.12188 457204324.7424 0.0 0.0 7271.702362816659 0.0 0.0 0.0
31.0 457204324.7424 457204326.36292 457204327.98344 0.0 0.0 7271.702362816659 0.0 0.0 0.0
32.0 457204327.98344 457204329.60396 457204331.22448 0.0 0.0 7271.702362816659 0.0 0.0 0.0
33.0 457204331.22448003 457204332.845 457204334.46552 0.0 0.0 7271.702362816659 0.0 0.0 0.0
34.0 457204334.46552 457204336.08604 457204337.70656 0.0 0.0 7271.702362816659 0.0 0.0 0.0
35.0 457204337.70656 457204339.32708 457204340.9476 0.0 0.0 7271.702362816659 0.0 0.0 0.0
