TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 200510856.13925 200510857.75977 200510859.38029 0.0 0.0 8681.42808658596 0.0 0.0 0.0
2.0 200510859.38029 200510861.00081 200510862.62133 0.0 0.0 8681.42808658596 0.0 0.0 0.0
3.0 200510862.62133002 200510864.24185002 200510865.86237 0.0 0.0 8681.42808658596 0.0 0.0 0.0
4.0 200510865.86237 200510867.48289 200510869.10341 0.0 0.0 8681.42808658596 0.0 0.0 0.0
5.0 200510869.10341 200510870.72393 200510872.34445 0.0 0.0 8681.42808658596 0.0 0.0 0.0
6.0 200510872.34445 200510873.96497 200510875.58549 0.0 0.0 8681.42808658596 0.0 0.0 0.0
7.0 200510875.58549002 200510877.20601 200510878.82653 0.0 0.0 8681.42808658596 0.0 0.0 0.0
8.0 200510878.82653 200510880.44705 200510882.06757 0.0 0.0 8681.42808658596 0.0 0.0 0.0
9.0 200510882.06757 200510883.68809 200510885.30861 0.0 0.0 8681.42808658596 0.0 0.0 0.0
10.0 200510885.30861002 200510886.92913002 200510888.54965 0.0 0.0 8681.42808658596 0.0 0.0 0.0
11.0 200510888.54965 200510890.17017 200510891.79069 0.0 0.0 8681.42808658596 0.0 0.0 0.0
12.0 200510891.79069 200510893.41121 200510895.03173 0.0 0.0 8681.42808658596 0.0 0.0 0.0
13.0 200510895.03173 200510896.65225 200510898.27277 0.0 0.0 8681.42808658596 0.0 0.0 0.0
14.0 200510898.27277002 200510899.89329 200510901.51381 0.0 0.0 8681.42808658596 0.0 0.0 0.0
15.0 200510901.51381 200510903.13433 200510904.75485 0.0 0.0 8681.42808658596 0.0 0.0 0.0
16.0 200510904.75485 200510906.37537 200510907.99589 0.0 0.0 8681.42808658596 0.0 0.0 0.0
17.0 200510907.99589002 200510909.61641002 200510911.23693 0.0 0.0 8681.42808658596 0.0 0.0 0.0
18.0 200510911.23693 200510912.85745 200510914.47797 0.0 0.0 8681.42808658596 0.0 0.0 0.0
19.0 200510914.47797 200510916.09849 200510917.71901 0.0 0.0 8681.42808658596 0.0 0.0 0.0
20.0 200510917.71901 200510919.33953 200510920.96005 0.0 0.0 8681.42808658596 0.0 0.0 0.0
21.0 200510920.96005002 200510922.58057 200510924.20109 0.0 0.0 8681.42808658596 0.0 0.0 0.0
22.0 200510924.20109 200510925.82161 200510927.44213 0.0 0.0 8681.42808658596 0.0 0.0 0.0
23.0 200510927.44213 200510929.06265 200510930.68317 0.0 0.0 8681.42808658596 0.0 0.0 0.0
24.0 200510930.68317002 200510932.30369002 200510933.92421 0.0 0.0 8681.42808658596 0.0 0.0 0.0
25.0 200510933.92421 200510935.54473 200510937.16525 0.0 0.0 8681.42808658596 0.0 0.0 0.0
26.0 200510937.16525 200510938.78577 200510940.40629 0.0 0.0 8681.42808658596 0.0 0.0 0.0
27.0 200510940.40629002 200510942.02681002 200510943.64733002 0.0 0.0 8681.42808658596 0.0 0.0 0.0
28.0 200510943.64733002 200510945.26785 200510946.88837 0.0 0.0 8681.42808658596 0.0 0.0 0.0
29.0 200510946.88837 200510948.50889 200510950.12941 0.0 0.0 8681.42808658596 0.0 0.0 0.0
30.0 200510950.12941 200510951.74993 200510953.37045 0.0 0.0 8681.42808658596 0.0 0.0 0.0
31.0 200510953.37045002 200510954.99097002 200510956.61149 0.0 0.0 8681.42808658596 0.0 0.0 0.0
32.0 200510956.61149 200510958.23201 200510959.85253 0.0 0.0 8681.42808658596 0.0 0.0 0.0
33.0 200510959.85253 200510961.47305 200510963.09357 0.0 0.0 8681.42808658596 0.0 0.0 0.0
34.0 200510963.09357002 200510964.71409002 200510966.33461002 0.0 0.0 8681.42808658596 0.0 0.0 0.0
35.0 200510966.33461002 200510967.95513 200510969.57565 0.0 0.0 8681.42808658596 0.0 0.0 0.0
36.0 200510969.57565 200510971.19617 200510972.81669 0.0 0.0 8681.42808658596 0.0 0.0 0.0
37.0 200510972.81669 200510974.43721 200510976.05773 0.0 0.0 8681.42808658596 0.0 0.0 0.0
38.0 200510976.05773002 200510977.67825 200510979.29877 0.0 0.0 8681.42808658596 0.0 0.0 0.0
39.0 200510979.29877 200510980.91929 200510982.53981 0.0 0.0 8681.42808658596 0.0 0.0 0.0
40.0 200510982.53981 200510984.16033 200510985.78085 0.0 0.0 8681.42808658596 0.0 0.0 0.0
41.0 200510985.78085002 200510987.40137002 200510989.02189 0.0 0.0 8681.42808658596 0.0 0.0 0.0
