TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 586913899.76863 586913901.38915 586913903.00967 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
2.0 586913903.00967 586913904.63019 586913906.25071 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
3.0 586913906.25071 586913907.87123 586913909.49175 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
4.0 586913909.49175 586913911.11227 586913912.73279 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
5.0 586913912.73279 586913914.35331 586913915.97383 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
6.0 586913915.97383 586913917.59435 586913919.21487 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
7.0 586913919.21487 586913920.83539 586913922.45591 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
8.0 586913922.4559101 586913924.0764301 586913925.6969501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
9.0 586913925.6969501 586913927.3174701 586913928.9379901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
10.0 586913928.9379901 586913930.5585101 586913932.1790301 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
11.0 586913932.1790301 586913933.79955 586913935.42007 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
12.0 586913935.42007 586913937.04059 586913938.66111 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
13.0 586913938.66111 586913940.28163 586913941.90215 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
14.0 586913941.90215 586913943.52267 586913945.14319 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
15.0 586913945.14319 586913946.76371 586913948.38423 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
16.0 586913948.38423 586913950.00475 586913951.62527 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
17.0 586913951.62527 586913953.24579 586913954.86631 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
18.0 586913954.86631 586913956.48683 586913958.10735 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
19.0 586913958.10735 586913959.72787 586913961.34839 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
20.0 586913961.34839 586913962.96891 586913964.58943 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
21.0 586913964.58943 586913966.20995 586913967.83047 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
22.0 586913967.8304701 586913969.4509901 586913971.0715101 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
23.0 586913971.0715101 586913972.6920301 586913974.3125501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
24.0 586913974.3125501 586913975.9330701 586913977.55359 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
25.0 586913977.55359 586913979.17411 586913980.79463 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
26.0 586913980.79463 586913982.41515 586913984.03567 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
27.0 586913984.03567 586913985.65619 586913987.27671 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
28.0 586913987.27671 586913988.89723 586913990.51775 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
29.0 586913990.51775 586913992.13827 586913993.75879 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
30.0 586913993.75879 586913995.37931 586913996.99983 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
31.0 586913996.99983 586913998.62035 586914000.24087 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
32.0 586914000.24087 586914001.86139 586914003.48191 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
33.0 586914003.48191 586914005.10243 586914006.72295 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
34.0 586914006.72295 586914008.34347 586914009.96399 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
35.0 586914009.96399 586914011.58451 586914013.20503 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
36.0 586914013.2050301 586914014.8255501 586914016.4460701 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
37.0 586914016.4460701 586914018.0665901 586914019.6871101 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
38.0 586914019.6871101 586914021.3076301 586914022.92815 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
39.0 586914022.92815 586914024.54867 586914026.16919 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
40.0 586914026.16919 586914027.78971 586914029.41023 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
41.0 586914029.41023 586914031.03075 586914032.65127 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
42.0 586914032.65127 586914034.27179 586914035.89231 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
43.0 586914035.89231 586914037.51283 586914039.13335 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
44.0 586914039.13335 586914040.75387 586914042.37439 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
45.0 586914042.37439 586914043.99491 586914045.61543 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
46.0 586914045.61543 586914047.23595 586914048.85647 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
47.0 586914048.85647 586914050.47699 586914052.09751 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
48.0 586914052.09751 586914053.71803 586914055.33855 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
49.0 586914055.33855 586914056.95907 586914058.57959 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
50.0 586914058.5795901 586914060.2001101 586914061.8206301 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
51.0 586914061.8206301 586914063.4411501 586914065.0616701 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
52.0 586914065.0616701 586914066.6821901 586914068.30271 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
53.0 586914068.30271 586914069.92323 586914071.54375 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
54.0 586914071.54375 586914073.16427 586914074.78479 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
55.0 586914074.78479 586914076.40531 586914078.02583 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
56.0 586914078.02583 586914079.64635 586914081.26687 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
57.0 586914081.26687 586914082.88739 586914084.50791 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
58.0 586914084.50791 586914086.12843 586914087.74895 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
59.0 586914087.74895 586914089.36947 586914090.98999 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
60.0 586914090.98999 586914092.61051 586914094.23103 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
61.0 586914094.23103 586914095.85155 586914097.47207 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
62.0 586914097.47207 586914099.09259 586914100.71311 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
63.0 586914100.71311 586914102.33363 586914103.95415 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
64.0 586914103.9541501 586914105.5746701 586914107.1951901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
65.0 586914107.1951901 586914108.8157101 586914110.4362301 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
66.0 586914110.4362301 586914112.05675 586914113.67727 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
67.0 586914113.67727 586914115.29779 586914116.91831 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
68.0 586914116.91831 586914118.53883 586914120.15935 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
69.0 586914120.15935 586914121.77987 586914123.40039 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
70.0 586914123.40039 586914125.02091 586914126.64143 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
71.0 586914126.64143 586914128.26195 586914129.88247 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
72.0 586914129.88247 586914131.50299 586914133.12351 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
73.0 586914133.12351 586914134.74403 586914136.36455 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
74.0 586914136.36455 586914137.98507 586914139.60559 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
75.0 586914139.60559 586914141.22611 586914142.84663 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
76.0 586914142.84663 586914144.46715 586914146.08767 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
77.0 586914146.08767 586914147.70819 586914149.32871 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
78.0 586914149.3287101 586914150.9492301 586914152.5697501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
79.0 586914152.5697501 586914154.1902701 586914155.8107901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
80.0 586914155.8107901 586914157.43131 586914159.05183 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
81.0 586914159.05183 586914160.67235 586914162.29287 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
82.0 586914162.29287 586914163.91339 586914165.53391 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
83.0 586914165.53391 586914167.15443 586914168.77495 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
84.0 586914168.77495 586914170.39547 586914172.01599 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
85.0 586914172.01599 586914173.63651 586914175.25703 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
86.0 586914175.25703 586914176.87755 586914178.49807 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
87.0 586914178.49807 586914180.11859 586914181.73911 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
88.0 586914181.73911 586914183.35963 586914184.98015 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
89.0 586914184.98015 586914186.60067 586914188.22119 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
90.0 586914188.22119 586914189.84171 586914191.46223 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
91.0 586914191.4622301 586914193.0827501 586914194.7032701 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
92.0 586914194.7032701 586914196.3237901 586914197.9443101 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
93.0 586914197.9443101 586914199.5648301 586914201.1853501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
94.0 586914201.1853501 586914202.80587 586914204.42639 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
95.0 586914204.42639 586914206.04691 586914207.66743 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
96.0 586914207.66743 586914209.28795 586914210.90847 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
97.0 586914210.90847 586914212.52899 586914214.14951 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
98.0 586914214.14951 586914215.77003 586914217.39055 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
99.0 586914217.39055 586914219.01107 586914220.63159 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
100.0 586914220.63159 586914222.25211 586914223.87263 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
101.0 586914223.87263 586914225.49315 586914227.11367 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
102.0 586914227.11367 586914228.73419 586914230.35471 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
103.0 586914230.35471 586914231.97523 586914233.59575 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
104.0 586914233.59575 586914235.21627 586914236.83679 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
105.0 586914236.8367901 586914238.4573101 586914240.0778301 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
106.0 586914240.0778301 586914241.6983501 586914243.3188701 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
107.0 586914243.3188701 586914244.9393901 586914246.55991 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
108.0 586914246.55991 586914248.18043 586914249.80095 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
109.0 586914249.80095 586914251.42147 586914253.04199 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
110.0 586914253.04199 586914254.66251 586914256.28303 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
111.0 586914256.28303 586914257.90355 586914259.52407 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
112.0 586914259.52407 586914261.14459 586914262.76511 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
113.0 586914262.76511 586914264.38563 586914266.00615 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
114.0 586914266.00615 586914267.62667 586914269.24719 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
115.0 586914269.24719 586914270.86771 586914272.48823 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
116.0 586914272.48823 586914274.10875 586914275.72927 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
117.0 586914275.72927 586914277.34979 586914278.97031 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
118.0 586914278.97031 586914280.59083 586914282.21135 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
119.0 586914282.2113501 586914283.8318701 586914285.4523901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
120.0 586914285.4523901 586914287.0729101 586914288.6934301 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
121.0 586914288.6934301 586914290.3139501 586914291.93447 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
122.0 586914291.93447 586914293.55499 586914295.17551 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
123.0 586914295.17551 586914296.79603 586914298.41655 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
124.0 586914298.41655 586914300.03707 586914301.65759 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
125.0 586914301.65759 586914303.27811 586914304.89863 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
126.0 586914304.89863 586914306.51915 586914308.13967 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
127.0 586914308.13967 586914309.76019 586914311.38071 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
128.0 586914311.38071 586914313.00123 586914314.62175 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
129.0 586914314.62175 586914316.24227 586914317.86279 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
130.0 586914317.86279 586914319.48331 586914321.10383 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
131.0 586914321.10383 586914322.72435 586914324.34487 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
132.0 586914324.34487 586914325.96539 586914327.58591 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
133.0 586914327.5859101 586914329.2064301 586914330.8269501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
134.0 586914330.8269501 586914332.4474701 586914334.0679901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
135.0 586914334.0679901 586914335.6885101 586914337.30903 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
136.0 586914337.30903 586914338.92955 586914340.55007 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
137.0 586914340.55007 586914342.17059 586914343.79111 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
138.0 586914343.79111 586914345.41163 586914347.03215 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
139.0 586914347.03215 586914348.65267 586914350.27319 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
140.0 586914350.27319 586914351.89371 586914353.51423 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
141.0 586914353.51423 586914355.13475 586914356.75527 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
142.0 586914356.75527 586914358.37579 586914359.99631 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
143.0 586914359.99631 586914361.61683 586914363.23735 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
144.0 586914363.23735 586914364.85787 586914366.47839 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
145.0 586914366.47839 586914368.09891 586914369.71943 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
146.0 586914369.71943 586914371.33995 586914372.96047 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
147.0 586914372.9604701 586914374.5809901 586914376.2015101 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
148.0 586914376.2015101 586914377.8220301 586914379.4425501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
149.0 586914379.4425501 586914381.06307 586914382.68359 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
150.0 586914382.68359 586914384.30411 586914385.92463 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
151.0 586914385.92463 586914387.54515 586914389.16567 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
152.0 586914389.16567 586914390.78619 586914392.40671 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
153.0 586914392.40671 586914394.02723 586914395.64775 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
154.0 586914395.64775 586914397.26827 586914398.88879 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
155.0 586914398.88879 586914400.50931 586914402.12983 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
156.0 586914402.12983 586914403.75035 586914405.37087 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
157.0 586914405.37087 586914406.99139 586914408.61191 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
158.0 586914408.61191 586914410.23243 586914411.85295 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
159.0 586914411.85295 586914413.47347 586914415.09399 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
160.0 586914415.09399 586914416.71451 586914418.33503 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
161.0 586914418.3350301 586914419.9555501 586914421.5760701 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
162.0 586914421.5760701 586914423.1965901 586914424.8171101 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
163.0 586914424.8171101 586914426.43763 586914428.05815 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
164.0 586914428.05815 586914429.67867 586914431.29919 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
165.0 586914431.29919 586914432.91971 586914434.54023 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
166.0 586914434.54023 586914436.16075 586914437.78127 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
167.0 586914437.78127 586914439.40179 586914441.02231 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
168.0 586914441.02231 586914442.64283 586914444.26335 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
169.0 586914444.26335 586914445.88387 586914447.50439 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
170.0 586914447.50439 586914449.12491 586914450.74543 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
171.0 586914450.74543 586914452.36595 586914453.98647 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
172.0 586914453.98647 586914455.60699 586914457.22751 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
173.0 586914457.22751 586914458.84803 586914460.46855 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
174.0 586914460.4685501 586914462.0890701 586914463.7095901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
175.0 586914463.7095901 586914465.3301101 586914466.9506301 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
176.0 586914466.9506301 586914468.5711501 586914470.1916701 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
177.0 586914470.1916701 586914471.81219 586914473.43271 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
178.0 586914473.43271 586914475.05323 586914476.67375 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
179.0 586914476.67375 586914478.29427 586914479.91479 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
180.0 586914479.91479 586914481.53531 586914483.15583 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
181.0 586914483.15583 586914484.77635 586914486.39687 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
182.0 586914486.39687 586914488.01739 586914489.63791 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
183.0 586914489.63791 586914491.25843 586914492.87895 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
184.0 586914492.87895 586914494.49947 586914496.11999 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
185.0 586914496.11999 586914497.74051 586914499.36103 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
186.0 586914499.36103 586914500.98155 586914502.60207 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
187.0 586914502.60207 586914504.22259 586914505.84311 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
188.0 586914505.8431101 586914507.4636301 586914509.0841501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
189.0 586914509.0841501 586914510.7046701 586914512.3251901 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
190.0 586914512.3251901 586914513.9457101 586914515.56623 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
191.0 586914515.56623 586914517.18675 586914518.80727 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
192.0 586914518.80727 586914520.42779 586914522.04831 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
193.0 586914522.04831 586914523.66883 586914525.28935 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
194.0 586914525.28935 586914526.90987 586914528.53039 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
195.0 586914528.53039 586914530.15091 586914531.77143 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
196.0 586914531.77143 586914533.39195 586914535.01247 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
197.0 586914535.01247 586914536.63299 586914538.25351 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
198.0 586914538.25351 586914539.87403 586914541.49455 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
199.0 586914541.49455 586914543.11507 586914544.73559 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
200.0 586914544.73559 586914546.35611 586914547.97663 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
201.0 586914547.97663 586914549.59715 586914551.21767 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
202.0 586914551.2176701 586914552.8381901 586914554.4587101 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
203.0 586914554.4587101 586914556.0792301 586914557.6997501 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
204.0 586914557.6997501 586914559.3202701 586914560.94079 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
205.0 586914560.94079 586914562.56131 586914564.18183 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
206.0 586914564.18183 586914565.80235 586914567.42287 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
207.0 586914567.42287 586914569.04339 586914570.66391 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
208.0 586914570.66391 586914572.28443 586914573.90495 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
209.0 586914573.90495 586914575.52547 586914577.14599 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
210.0 586914577.14599 586914578.76651 586914580.38703 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
211.0 586914580.38703 586914582.00755 586914583.62807 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
212.0 586914583.62807 586914585.24859 586914586.86911 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
213.0 586914586.86911 586914588.48963 586914590.11015 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
214.0 586914590.11015 586914591.73067 586914593.35119 0.0 0.0 2315.3226921513806 0.0 0.0 0.0
