TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 298789930.65937 298789932.27989 298789933.90041 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
2.0 298789933.90041 298789935.52093 298789937.14145 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
3.0 298789937.14145 298789938.76197 298789940.38249 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
4.0 298789940.38249 298789942.00301 298789943.62353 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
5.0 298789943.62353003 298789945.24405 298789946.86457 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
6.0 298789946.86457 298789948.48509 298789950.10561 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
7.0 298789950.10561 298789951.72613 298789953.34665 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
8.0 298789953.34665 298789954.96717 298789956.58769 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
9.0 298789956.58769 298789958.20821 298789959.82873 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
10.0 298789959.82873 298789961.44925 298789963.06977 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
11.0 298789963.06977 298789964.69029 298789966.31080997 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
12.0 298789966.31081 298789967.93133 298789969.55185 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
13.0 298789969.55185 298789971.17237 298789972.79289 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
14.0 298789972.79289 298789974.41341 298789976.03393 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
15.0 298789976.03393 298789977.65445 298789979.27497 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
16.0 298789979.27497 298789980.89549 298789982.51601 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
17.0 298789982.51601 298789984.13653 298789985.75705 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
18.0 298789985.75705 298789987.37757 298789988.99808997 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
19.0 298789988.99809 298789990.61861 298789992.23913 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
20.0 298789992.23913 298789993.85965 298789995.48017 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
21.0 298789995.48017 298789997.10069 298789998.72121 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
22.0 298789998.72121 298790000.34173 298790001.96225 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
23.0 298790001.96225 298790003.58277 298790005.20329 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
24.0 298790005.20329 298790006.82381 298790008.44433 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
25.0 298790008.44433 298790010.06485 298790011.68536997 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
26.0 298790011.68537 298790013.30589 298790014.92641 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
27.0 298790014.92641 298790016.54693 298790018.16745 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
28.0 298790018.16745 298790019.78797 298790021.40849 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
29.0 298790021.40849 298790023.02901 298790024.64953 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
30.0 298790024.64953 298790026.27005 298790027.89057 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
31.0 298790027.89057 298790029.51109 298790031.13161 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
32.0 298790031.13161 298790032.75213 298790034.37264997 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
33.0 298790034.37265 298790035.99317 298790037.61369 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
34.0 298790037.61369 298790039.23421 298790040.85473 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
35.0 298790040.85473 298790042.47525 298790044.09577 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
36.0 298790044.09577 298790045.71629 298790047.33681 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
37.0 298790047.33681 298790048.95733 298790050.57785 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
38.0 298790050.57785 298790052.19837 298790053.81889 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
39.0 298790053.81889 298790055.43941 298790057.05992997 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
40.0 298790057.05993 298790058.68045 298790060.30097 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
41.0 298790060.30097 298790061.92149 298790063.54201 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
42.0 298790063.54201 298790065.16253 298790066.78305 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
43.0 298790066.78305 298790068.40357 298790070.02409 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
44.0 298790070.02409 298790071.64461 298790073.26513 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
45.0 298790073.26513 298790074.88565 298790076.50617 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
46.0 298790076.50617003 298790078.12669003 298790079.74721 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
47.0 298790079.74721 298790081.36773 298790082.98825 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
48.0 298790082.98825 298790084.60877 298790086.22929 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
49.0 298790086.22929 298790087.84981 298790089.47033 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
50.0 298790089.47033 298790091.09085 298790092.71137 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
51.0 298790092.71137 298790094.33189 298790095.95241 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
52.0 298790095.95241 298790097.57293 298790099.19345 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
53.0 298790099.19345003 298790100.81397 298790102.43449 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
54.0 298790102.43449 298790104.05501 298790105.67553 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
55.0 298790105.67553 298790107.29605 298790108.91657 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
56.0 298790108.91657 298790110.53709 298790112.15761 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
57.0 298790112.15761 298790113.77813 298790115.39865 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
58.0 298790115.39865 298790117.01917 298790118.63969 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
59.0 298790118.63969 298790120.26021 298790121.88073 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
60.0 298790121.88073003 298790123.50125 298790125.12177 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
61.0 298790125.12177 298790126.74229 298790128.36281 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
62.0 298790128.36281 298790129.98333 298790131.60385 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
63.0 298790131.60385 298790133.22437 298790134.84489 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
64.0 298790134.84489 298790136.46541 298790138.08593 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
65.0 298790138.08593 298790139.70645 298790141.32697 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
66.0 298790141.32697 298790142.94749 298790144.56801 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
67.0 298790144.56801003 298790146.18853 298790147.80905 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
68.0 298790147.80905 298790149.42957 298790151.05009 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
69.0 298790151.05009 298790152.67061 298790154.29113 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
70.0 298790154.29113 298790155.91165 298790157.53217 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
71.0 298790157.53217 298790159.15269 298790160.77321 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
72.0 298790160.77321 298790162.39373 298790164.01425 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
73.0 298790164.01425 298790165.63477 298790167.25529 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
74.0 298790167.25529003 298790168.87581 298790170.49633 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
75.0 298790170.49633 298790172.11685 298790173.73737 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
76.0 298790173.73737 298790175.35789 298790176.97841 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
77.0 298790176.97841 298790178.59893 298790180.21945 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
78.0 298790180.21945 298790181.83997 298790183.46049 0.0 0.0 3301.3011157761475 0.0 0.0 0.0
