TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 365180809.84463 365180811.46515 365180813.08567 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
2.0 365180813.08567 365180814.70619 365180816.32671 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
3.0 365180816.32671 365180817.94723 365180819.56775 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
4.0 365180819.56775 365180821.18827 365180822.80878997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
5.0 365180822.80879 365180824.42931 365180826.04983 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
6.0 365180826.04983 365180827.67035 365180829.29087 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
7.0 365180829.29087 365180830.91139 365180832.53191 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
8.0 365180832.53191 365180834.15243 365180835.77295 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
9.0 365180835.77295 365180837.39347 365180839.01399 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
10.0 365180839.01399 365180840.63451 365180842.25503 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
11.0 365180842.25503 365180843.87555 365180845.49606997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
12.0 365180845.49607 365180847.11659 365180848.73711 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
13.0 365180848.73711 365180850.35763 365180851.97815 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
14.0 365180851.97815 365180853.59867 365180855.21919 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
15.0 365180855.21919 365180856.83971 365180858.46023 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
16.0 365180858.46023 365180860.08075 365180861.70127 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
17.0 365180861.70127 365180863.32179 365180864.94231 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
18.0 365180864.94231 365180866.56283 365180868.18334997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
19.0 365180868.18335 365180869.80387 365180871.42439 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
20.0 365180871.42439 365180873.04491 365180874.66543 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
21.0 365180874.66543 365180876.28595 365180877.90647 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
22.0 365180877.90647 365180879.52699 365180881.14751 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
23.0 365180881.14751 365180882.76803 365180884.38855 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
24.0 365180884.38855 365180886.00907 365180887.62959 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
25.0 365180887.62959 365180889.25011 365180890.87062997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
26.0 365180890.87063 365180892.49115 365180894.11167 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
27.0 365180894.11167 365180895.73219 365180897.35271 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
28.0 365180897.35271 365180898.97323 365180900.59375 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
29.0 365180900.59375 365180902.21427 365180903.83479 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
30.0 365180903.83479 365180905.45531 365180907.07583 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
31.0 365180907.07583 365180908.69635 365180910.31687 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
32.0 365180910.31687 365180911.93738997 365180913.55790997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
33.0 365180913.55791 365180915.17843 365180916.79895 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
34.0 365180916.79895 365180918.41947 365180920.03999 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
35.0 365180920.03999 365180921.66051 365180923.28103 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
36.0 365180923.28103 365180924.90155 365180926.52207 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
37.0 365180926.52207 365180928.14259 365180929.76311 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
38.0 365180929.76311 365180931.38363 365180933.00415 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
39.0 365180933.00415 365180934.62466997 365180936.24518996 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
40.0 365180936.24519 365180937.86571 365180939.48623 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
41.0 365180939.48623 365180941.10675 365180942.72727 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
42.0 365180942.72727 365180944.34779 365180945.96831 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
43.0 365180945.96831 365180947.58883 365180949.20935 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
44.0 365180949.20935 365180950.82987 365180952.45039 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
45.0 365180952.45039 365180954.07091 365180955.69143 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
46.0 365180955.69143003 365180957.31195 365180958.93247 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
47.0 365180958.93247 365180960.55299 365180962.17351 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
48.0 365180962.17351 365180963.79403 365180965.41455 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
49.0 365180965.41455 365180967.03507 365180968.65559 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
50.0 365180968.65559 365180970.27611 365180971.89663 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
51.0 365180971.89663 365180973.51715 365180975.13767 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
52.0 365180975.13767 365180976.75819 365180978.37871 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
53.0 365180978.37871003 365180979.99923 365180981.61975 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
54.0 365180981.61975 365180983.24027 365180984.86079 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
55.0 365180984.86079 365180986.48131 365180988.10183 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
56.0 365180988.10183 365180989.72235 365180991.34287 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
57.0 365180991.34287 365180992.96339 365180994.58391 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
58.0 365180994.58391 365180996.20443 365180997.82495 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
59.0 365180997.82495 365180999.44547 365181001.06599 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
60.0 365181001.06599003 365181002.68651 365181004.30703 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
61.0 365181004.30703 365181005.92755 365181007.54807 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
62.0 365181007.54807 365181009.16859 365181010.78911 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
63.0 365181010.78911 365181012.40963 365181014.03015 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
64.0 365181014.03015 365181015.65067 365181017.27119 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
65.0 365181017.27119 365181018.89171 365181020.51223 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
66.0 365181020.51223 365181022.13275 365181023.75327 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
67.0 365181023.75327003 365181025.37379 365181026.99431 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
68.0 365181026.99431 365181028.61483 365181030.23535 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
69.0 365181030.23535 365181031.85587 365181033.47639 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
70.0 365181033.47639 365181035.09691 365181036.71743 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
71.0 365181036.71743 365181038.33795 365181039.95847 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
72.0 365181039.95847 365181041.57899 365181043.19951 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
73.0 365181043.19951 365181044.82003 365181046.44054997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
74.0 365181046.44055 365181048.06107 365181049.68159 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
75.0 365181049.68159 365181051.30211 365181052.92263 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
76.0 365181052.92263 365181054.54315 365181056.16367 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
77.0 365181056.16367 365181057.78419 365181059.40471 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
78.0 365181059.40471 365181061.02523 365181062.64575 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
79.0 365181062.64575 365181064.26627 365181065.88679 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
80.0 365181065.88679 365181067.50731 365181069.12782997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
81.0 365181069.12783 365181070.74835 365181072.36887 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
82.0 365181072.36887 365181073.98939 365181075.60991 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
83.0 365181075.60991 365181077.23043 365181078.85095 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
84.0 365181078.85095 365181080.47147 365181082.09199 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
85.0 365181082.09199 365181083.71251 365181085.33303 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
86.0 365181085.33303 365181086.95355 365181088.57407 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
87.0 365181088.57407 365181090.19459 365181091.81510997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
88.0 365181091.81511 365181093.43563 365181095.05615 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
89.0 365181095.05615 365181096.67667 365181098.29719 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
90.0 365181098.29719 365181099.91771 365181101.53823 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
91.0 365181101.53823 365181103.15875 365181104.77927 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
92.0 365181104.77927 365181106.39979 365181108.02031 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
93.0 365181108.02031 365181109.64083 365181111.26135 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
94.0 365181111.26135 365181112.88187 365181114.50238997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
95.0 365181114.50239 365181116.12291 365181117.74343 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
96.0 365181117.74343 365181119.36395 365181120.98447 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
97.0 365181120.98447 365181122.60499 365181124.22551 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
98.0 365181124.22551 365181125.84603 365181127.46655 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
99.0 365181127.46655 365181129.08707 365181130.70759 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
100.0 365181130.70759 365181132.32811 365181133.94863 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
101.0 365181133.94863 365181135.56915 365181137.18966997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
102.0 365181137.18967 365181138.81019 365181140.43071 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
103.0 365181140.43071 365181142.05123 365181143.67175 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
104.0 365181143.67175 365181145.29227 365181146.91279 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
105.0 365181146.91279 365181148.53331 365181150.15383 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
106.0 365181150.15383 365181151.77435 365181153.39487 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
107.0 365181153.39487 365181155.01539 365181156.63591 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
108.0 365181156.63591 365181158.25643 365181159.87694997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
109.0 365181159.87695 365181161.49747 365181163.11799 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
110.0 365181163.11799 365181164.73851 365181166.35903 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
111.0 365181166.35903 365181167.97955 365181169.60007 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
112.0 365181169.60007 365181171.22059 365181172.84111 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
113.0 365181172.84111 365181174.46163 365181176.08215 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
114.0 365181176.08215 365181177.70267 365181179.32319 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
115.0 365181179.32319 365181180.94370997 365181182.56422997 0.0 0.0 1202.5775964747145 0.0 0.0 0.0
