TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 621043588.12177 621043589.74229 621043591.36281 0.0 0.0 6639.8041380525 0.0 0.0 0.0
2.0 621043591.36281 621043592.98333 621043594.60385 0.0 0.0 6639.8041380525 0.0 0.0 0.0
3.0 621043594.60385 621043596.22437 621043597.84489 0.0 0.0 6639.8041380525 0.0 0.0 0.0
4.0 621043597.84489 621043599.46541 621043601.08593 0.0 0.0 6639.8041380525 0.0 0.0 0.0
5.0 621043601.08593 621043602.70645 621043604.32697 0.0 0.0 6639.8041380525 0.0 0.0 0.0
6.0 621043604.32697 621043605.94749 621043607.56801 0.0 0.0 6639.8041380525 0.0 0.0 0.0
7.0 621043607.56801 621043609.18853 621043610.80905 0.0 0.0 6639.8041380525 0.0 0.0 0.0
8.0 621043610.8090501 621043612.4295701 621043614.0500901 0.0 0.0 6639.8041380525 0.0 0.0 0.0
9.0 621043614.0500901 621043615.6706101 621043617.2911301 0.0 0.0 6639.8041380525 0.0 0.0 0.0
10.0 621043617.2911301 621043618.9116501 621043620.53217 0.0 0.0 6639.8041380525 0.0 0.0 0.0
11.0 621043620.53217 621043622.15269 621043623.77321 0.0 0.0 6639.8041380525 0.0 0.0 0.0
12.0 621043623.77321 621043625.39373 621043627.01425 0.0 0.0 6639.8041380525 0.0 0.0 0.0
13.0 621043627.01425 621043628.63477 621043630.25529 0.0 0.0 6639.8041380525 0.0 0.0 0.0
14.0 621043630.25529 621043631.87581 621043633.49633 0.0 0.0 6639.8041380525 0.0 0.0 0.0
15.0 621043633.49633 621043635.11685 621043636.73737 0.0 0.0 6639.8041380525 0.0 0.0 0.0
16.0 621043636.73737 621043638.35789 621043639.97841 0.0 0.0 6639.8041380525 0.0 0.0 0.0
17.0 621043639.97841 621043641.59893 621043643.21945 0.0 0.0 6639.8041380525 0.0 0.0 0.0
18.0 621043643.21945 621043644.83997 621043646.46049 0.0 0.0 6639.8041380525 0.0 0.0 0.0
19.0 621043646.46049 621043648.08101 621043649.70153 0.0 0.0 6639.8041380525 0.0 0.0 0.0
20.0 621043649.70153 621043651.32205 621043652.94257 0.0 0.0 6639.8041380525 0.0 0.0 0.0
21.0 621043652.94257 621043654.56309 621043656.18361 0.0 0.0 6639.8041380525 0.0 0.0 0.0
22.0 621043656.1836101 621043657.8041301 621043659.4246501 0.0 0.0 6639.8041380525 0.0 0.0 0.0
23.0 621043659.4246501 621043661.0451701 621043662.6656901 0.0 0.0 6639.8041380525 0.0 0.0 0.0
24.0 621043662.6656901 621043664.2862101 621043665.90673 0.0 0.0 6639.8041380525 0.0 0.0 0.0
25.0 621043665.90673 621043667.52725 621043669.14777 0.0 0.0 6639.8041380525 0.0 0.0 0.0
26.0 621043669.14777 621043670.76829 621043672.38881 0.0 0.0 6639.8041380525 0.0 0.0 0.0
27.0 621043672.38881 621043674.00933 621043675.62985 0.0 0.0 6639.8041380525 0.0 0.0 0.0
28.0 621043675.62985 621043677.25037 621043678.87089 0.0 0.0 6639.8041380525 0.0 0.0 0.0
29.0 621043678.87089 621043680.49141 621043682.11193 0.0 0.0 6639.8041380525 0.0 0.0 0.0
30.0 621043682.11193 621043683.73245 621043685.35297 0.0 0.0 6639.8041380525 0.0 0.0 0.0
31.0 621043685.35297 621043686.97349 621043688.59401 0.0 0.0 6639.8041380525 0.0 0.0 0.0
32.0 621043688.59401 621043690.21453 621043691.83505 0.0 0.0 6639.8041380525 0.0 0.0 0.0
33.0 621043691.83505 621043693.45557 621043695.07609 0.0 0.0 6639.8041380525 0.0 0.0 0.0
34.0 621043695.07609 621043696.69661 621043698.31713 0.0 0.0 6639.8041380525 0.0 0.0 0.0
35.0 621043698.31713 621043699.93765 621043701.55817 0.0 0.0 6639.8041380525 0.0 0.0 0.0
36.0 621043701.5581701 621043703.1786901 621043704.7992101 0.0 0.0 6639.8041380525 0.0 0.0 0.0
37.0 621043704.7992101 621043706.4197301 621043708.0402501 0.0 0.0 6639.8041380525 0.0 0.0 0.0
38.0 621043708.0402501 621043709.66077 621043711.28129 0.0 0.0 6639.8041380525 0.0 0.0 0.0
39.0 621043711.28129 621043712.90181 621043714.52233 0.0 0.0 6639.8041380525 0.0 0.0 0.0
40.0 621043714.52233 621043716.14285 621043717.76337 0.0 0.0 6639.8041380525 0.0 0.0 0.0
41.0 621043717.76337 621043719.38389 621043721.00441 0.0 0.0 6639.8041380525 0.0 0.0 0.0
42.0 621043721.00441 621043722.62493 621043724.24545 0.0 0.0 6639.8041380525 0.0 0.0 0.0
43.0 621043724.24545 621043725.86597 621043727.48649 0.0 0.0 6639.8041380525 0.0 0.0 0.0
44.0 621043727.48649 621043729.10701 621043730.72753 0.0 0.0 6639.8041380525 0.0 0.0 0.0
45.0 621043730.72753 621043732.34805 621043733.96857 0.0 0.0 6639.8041380525 0.0 0.0 0.0
46.0 621043733.96857 621043735.58909 621043737.20961 0.0 0.0 6639.8041380525 0.0 0.0 0.0
47.0 621043737.20961 621043738.83013 621043740.45065 0.0 0.0 6639.8041380525 0.0 0.0 0.0
48.0 621043740.45065 621043742.07117 621043743.69169 0.0 0.0 6639.8041380525 0.0 0.0 0.0
49.0 621043743.69169 621043745.31221 621043746.93273 0.0 0.0 6639.8041380525 0.0 0.0 0.0
50.0 621043746.9327301 621043748.5532501 621043750.1737701 0.0 0.0 6639.8041380525 0.0 0.0 0.0
51.0 621043750.1737701 621043751.7942901 621043753.4148101 0.0 0.0 6639.8041380525 0.0 0.0 0.0
52.0 621043753.4148101 621043755.03533 621043756.65585 0.0 0.0 6639.8041380525 0.0 0.0 0.0
53.0 621043756.65585 621043758.27637 621043759.89689 0.0 0.0 6639.8041380525 0.0 0.0 0.0
54.0 621043759.89689 621043761.51741 621043763.13793 0.0 0.0 6639.8041380525 0.0 0.0 0.0
55.0 621043763.13793 621043764.75845 621043766.37897 0.0 0.0 6639.8041380525 0.0 0.0 0.0
56.0 621043766.37897 621043767.99949 621043769.62001 0.0 0.0 6639.8041380525 0.0 0.0 0.0
57.0 621043769.62001 621043771.24053 621043772.86105 0.0 0.0 6639.8041380525 0.0 0.0 0.0
58.0 621043772.86105 621043774.48157 621043776.10209 0.0 0.0 6639.8041380525 0.0 0.0 0.0
59.0 621043776.10209 621043777.72261 621043779.34313 0.0 0.0 6639.8041380525 0.0 0.0 0.0
60.0 621043779.34313 621043780.96365 621043782.58417 0.0 0.0 6639.8041380525 0.0 0.0 0.0
61.0 621043782.58417 621043784.20469 621043785.82521 0.0 0.0 6639.8041380525 0.0 0.0 0.0
62.0 621043785.82521 621043787.44573 621043789.06625 0.0 0.0 6639.8041380525 0.0 0.0 0.0
63.0 621043789.06625 621043790.68677 621043792.30729 0.0 0.0 6639.8041380525 0.0 0.0 0.0
64.0 621043792.3072901 621043793.9278101 621043795.5483301 0.0 0.0 6639.8041380525 0.0 0.0 0.0
65.0 621043795.5483301 621043797.1688501 621043798.7893701 0.0 0.0 6639.8041380525 0.0 0.0 0.0
66.0 621043798.7893701 621043800.40989 621043802.03041 0.0 0.0 6639.8041380525 0.0 0.0 0.0
67.0 621043802.03041 621043803.65093 621043805.27145 0.0 0.0 6639.8041380525 0.0 0.0 0.0
68.0 621043805.27145 621043806.89197 621043808.51249 0.0 0.0 6639.8041380525 0.0 0.0 0.0
69.0 621043808.51249 621043810.13301 621043811.75353 0.0 0.0 6639.8041380525 0.0 0.0 0.0
70.0 621043811.75353 621043813.37405 621043814.99457 0.0 0.0 6639.8041380525 0.0 0.0 0.0
71.0 621043814.99457 621043816.61509 621043818.23561 0.0 0.0 6639.8041380525 0.0 0.0 0.0
72.0 621043818.23561 621043819.85613 621043821.47665 0.0 0.0 6639.8041380525 0.0 0.0 0.0
73.0 621043821.47665 621043823.09717 621043824.71769 0.0 0.0 6639.8041380525 0.0 0.0 0.0
74.0 621043824.71769 621043826.33821 621043827.95873 0.0 0.0 6639.8041380525 0.0 0.0 0.0
75.0 621043827.95873 621043829.57925 621043831.19977 0.0 0.0 6639.8041380525 0.0 0.0 0.0
76.0 621043831.19977 621043832.82029 621043834.44081 0.0 0.0 6639.8041380525 0.0 0.0 0.0
77.0 621043834.44081 621043836.06133 621043837.68185 0.0 0.0 6639.8041380525 0.0 0.0 0.0
78.0 621043837.6818501 621043839.3023701 621043840.9228901 0.0 0.0 6639.8041380525 0.0 0.0 0.0
79.0 621043840.9228901 621043842.5434101 621043844.16393 0.0 0.0 6639.8041380525 0.0 0.0 0.0
80.0 621043844.16393 621043845.78445 621043847.40497 0.0 0.0 6639.8041380525 0.0 0.0 0.0
81.0 621043847.40497 621043849.02549 621043850.64601 0.0 0.0 6639.8041380525 0.0 0.0 0.0
82.0 621043850.64601 621043852.26653 621043853.88705 0.0 0.0 6639.8041380525 0.0 0.0 0.0
83.0 621043853.88705 621043855.50757 621043857.12809 0.0 0.0 6639.8041380525 0.0 0.0 0.0
84.0 621043857.12809 621043858.74861 621043860.36913 0.0 0.0 6639.8041380525 0.0 0.0 0.0
85.0 621043860.36913 621043861.98965 621043863.61017 0.0 0.0 6639.8041380525 0.0 0.0 0.0
86.0 621043863.61017 621043865.23069 621043866.85121 0.0 0.0 6639.8041380525 0.0 0.0 0.0
87.0 621043866.85121 621043868.47173 621043870.09225 0.0 0.0 6639.8041380525 0.0 0.0 0.0
88.0 621043870.09225 621043871.71277 621043873.33329 0.0 0.0 6639.8041380525 0.0 0.0 0.0
89.0 621043873.33329 621043874.95381 621043876.57433 0.0 0.0 6639.8041380525 0.0 0.0 0.0
90.0 621043876.57433 621043878.19485 621043879.81537 0.0 0.0 6639.8041380525 0.0 0.0 0.0
91.0 621043879.8153701 621043881.4358901 621043883.0564101 0.0 0.0 6639.8041380525 0.0 0.0 0.0
92.0 621043883.0564101 621043884.6769301 621043886.2974501 0.0 0.0 6639.8041380525 0.0 0.0 0.0
93.0 621043886.2974501 621043887.9179701 621043889.53849 0.0 0.0 6639.8041380525 0.0 0.0 0.0
94.0 621043889.53849 621043891.15901 621043892.77953 0.0 0.0 6639.8041380525 0.0 0.0 0.0
95.0 621043892.77953 621043894.40005 621043896.02057 0.0 0.0 6639.8041380525 0.0 0.0 0.0
96.0 621043896.02057 621043897.64109 621043899.26161 0.0 0.0 6639.8041380525 0.0 0.0 0.0
97.0 621043899.26161 621043900.88213 621043902.50265 0.0 0.0 6639.8041380525 0.0 0.0 0.0
98.0 621043902.50265 621043904.12317 621043905.74369 0.0 0.0 6639.8041380525 0.0 0.0 0.0
99.0 621043905.74369 621043907.36421 621043908.98473 0.0 0.0 6639.8041380525 0.0 0.0 0.0
100.0 621043908.98473 621043910.60525 621043912.22577 0.0 0.0 6639.8041380525 0.0 0.0 0.0
101.0 621043912.22577 621043913.84629 621043915.46681 0.0 0.0 6639.8041380525 0.0 0.0 0.0
102.0 621043915.46681 621043917.08733 621043918.70785 0.0 0.0 6639.8041380525 0.0 0.0 0.0
103.0 621043918.70785 621043920.32837 621043921.94889 0.0 0.0 6639.8041380525 0.0 0.0 0.0
104.0 621043921.94889 621043923.56941 621043925.18993 0.0 0.0 6639.8041380525 0.0 0.0 0.0
105.0 621043925.1899301 621043926.8104501 621043928.4309701 0.0 0.0 6639.8041380525 0.0 0.0 0.0
106.0 621043928.4309701 621043930.0514901 621043931.6720101 0.0 0.0 6639.8041380525 0.0 0.0 0.0
107.0 621043931.6720101 621043933.2925301 621043934.91305 0.0 0.0 6639.8041380525 0.0 0.0 0.0
108.0 621043934.91305 621043936.53357 621043938.15409 0.0 0.0 6639.8041380525 0.0 0.0 0.0
109.0 621043938.15409 621043939.77461 621043941.39513 0.0 0.0 6639.8041380525 0.0 0.0 0.0
110.0 621043941.39513 621043943.01565 621043944.63617 0.0 0.0 6639.8041380525 0.0 0.0 0.0
111.0 621043944.63617 621043946.25669 621043947.87721 0.0 0.0 6639.8041380525 0.0 0.0 0.0
112.0 621043947.87721 621043949.49773 621043951.11825 0.0 0.0 6639.8041380525 0.0 0.0 0.0
113.0 621043951.11825 621043952.73877 621043954.35929 0.0 0.0 6639.8041380525 0.0 0.0 0.0
114.0 621043954.35929 621043955.97981 621043957.60033 0.0 0.0 6639.8041380525 0.0 0.0 0.0
115.0 621043957.60033 621043959.22085 621043960.84137 0.0 0.0 6639.8041380525 0.0 0.0 0.0
116.0 621043960.84137 621043962.46189 621043964.08241 0.0 0.0 6639.8041380525 0.0 0.0 0.0
117.0 621043964.08241 621043965.70293 621043967.32345 0.0 0.0 6639.8041380525 0.0 0.0 0.0
118.0 621043967.32345 621043968.94397 621043970.56449 0.0 0.0 6639.8041380525 0.0 0.0 0.0
119.0 621043970.5644901 621043972.1850101 621043973.8055301 0.0 0.0 6639.8041380525 0.0 0.0 0.0
120.0 621043973.8055301 621043975.4260501 621043977.0465701 0.0 0.0 6639.8041380525 0.0 0.0 0.0
121.0 621043977.0465701 621043978.66709 621043980.28761 0.0 0.0 6639.8041380525 0.0 0.0 0.0
122.0 621043980.28761 621043981.90813 621043983.52865 0.0 0.0 6639.8041380525 0.0 0.0 0.0
123.0 621043983.52865 621043985.14917 621043986.76969 0.0 0.0 6639.8041380525 0.0 0.0 0.0
124.0 621043986.76969 621043988.39021 621043990.01073 0.0 0.0 6639.8041380525 0.0 0.0 0.0
125.0 621043990.01073 621043991.63125 621043993.25177 0.0 0.0 6639.8041380525 0.0 0.0 0.0
126.0 621043993.25177 621043994.87229 621043996.49281 0.0 0.0 6639.8041380525 0.0 0.0 0.0
127.0 621043996.49281 621043998.11333 621043999.73385 0.0 0.0 6639.8041380525 0.0 0.0 0.0
128.0 621043999.73385 621044001.35437 621044002.97489 0.0 0.0 6639.8041380525 0.0 0.0 0.0
129.0 621044002.97489 621044004.59541 621044006.21593 0.0 0.0 6639.8041380525 0.0 0.0 0.0
130.0 621044006.21593 621044007.83645 621044009.45697 0.0 0.0 6639.8041380525 0.0 0.0 0.0
131.0 621044009.45697 621044011.07749 621044012.69801 0.0 0.0 6639.8041380525 0.0 0.0 0.0
132.0 621044012.69801 621044014.31853 621044015.93905 0.0 0.0 6639.8041380525 0.0 0.0 0.0
133.0 621044015.9390501 621044017.5595701 621044019.1800901 0.0 0.0 6639.8041380525 0.0 0.0 0.0
134.0 621044019.1800901 621044020.8006101 621044022.4211301 0.0 0.0 6639.8041380525 0.0 0.0 0.0
